text,source,date
"Government announces PM-KISAN scheme to provide ₹6,000 annual income support to farmers.",pib.gov.in,2019-02-24
The Union Cabinet approves National Education Policy 2020 to reform school and higher education.,pib.gov.in,2020-07-29
The Ministry of Power launches the Saubhagya scheme to achieve universal household electrification.,pib.gov.in,2017-09-25
Digital India initiative expands broadband access to rural areas under BharatNet project.,pib.gov.in,2021-03-15
Ayushman Bharat provides free health insurance up to ₹5 lakh per family per year for eligible households.,pib.gov.in,2018-09-23
Government announces reduction in corporate tax rate to 22 percent to boost economic growth.,pib.gov.in,2019-09-20
Pradhan Mantri Awas Yojana aims to provide affordable housing to all by 2024.,pib.gov.in,2015-06-25
The Union Government launches PM Gati Shakti National Master Plan for integrated infrastructure development.,pib.gov.in,2021-10-13
India achieves 100 percent village electrification under Deen Dayal Upadhyaya Gram Jyoti Yojana.,pib.gov.in,2018-04-29
Jal Jeevan Mission launched to provide safe and adequate drinking water to every rural household by 2024.,pib.gov.in,2019-08-15
The Union Budget 2023 introduces new income tax regime with revised slabs and lower rates.,pib.gov.in,2023-02-01
PM Ujjwala Yojana provides free LPG connections to women from below poverty line households.,pib.gov.in,2016-05-01
National Clean Air Programme launched to reduce air pollution levels by 20-30 percent by 2024.,pib.gov.in,2019-01-10
Government of India announces new FDI policy reforms to attract foreign investment.,pib.gov.in,2020-08-29
Atmanirbhar Bharat Abhiyan launched to make India self-reliant across sectors.,pib.gov.in,2020-05-12
Swachh Bharat Mission successfully eliminates open defecation in rural India.,pib.gov.in,2019-10-02
Smart Cities Mission aims to develop 100 smart cities across India.,pib.gov.in,2015-06-25
The Ministry of Health launches COVID-19 vaccination drive across India.,pib.gov.in,2021-01-16
National Green Hydrogen Mission announced to make India a hub for green energy.,pib.gov.in,2023-01-04
Make in India initiative promotes domestic manufacturing and job creation.,pib.gov.in,2014-09-25
Beti Bachao Beti Padhao launched to promote education and empowerment of the girl child.,pib.gov.in,2015-01-22
PM Jan Dhan Yojana enables financial inclusion through zero balance bank accounts.,pib.gov.in,2014-08-28
Startup India initiative fosters innovation and entrepreneurship among youth.,pib.gov.in,2016-01-16
UDAN scheme launched to improve regional air connectivity under civil aviation.,pib.gov.in,2016-10-21
Rural electrification achieved in all states as per government data in 2018.,pib.gov.in,2018-04-29
The Government of India launches Digital Health Mission for integrated healthcare records.,pib.gov.in,2021-09-27
Mission Karmayogi launched for capacity building of civil servants.,pib.gov.in,2020-09-02
Production Linked Incentive scheme launched for 14 key sectors to boost manufacturing.,pib.gov.in,2020-11-11
PLI scheme extended to drone manufacturing to encourage innovation.,pib.gov.in,2022-02-04
Government launches eShram portal for unorganized workers registration.,pib.gov.in,2021-08-26
